momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Diurno,76,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,38,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,70,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,67,Masculino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Diurno,72,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,17,Masculino,Pasajero,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,25,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,25,Masculino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,45,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,21,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,42,Masculino,Conductor,Motocicleta,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,35,Masculino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Nocturno,14,Femenino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Nocturno,79,Masculino,Pasajero,Automovil,Ruta nacional,Otro modo,Bueno,1
Nocturno,29,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,79,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,26,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,80,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,15,Masculino,Pasajero,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,24,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,37,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,17,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,40,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,57,Masculino,Conductor,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,22,Masculino,Peaton,Peaton,Autopista provincial,Colision vehiculo/Persona,Bueno,1
Nocturno,57,Femenino,Pasajero,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,50,Masculino,Conductor,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,21,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,31,Masculino,Pasajero,Camioneta,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,1
Diurno,9,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
Diurno,37,Masculino,Conductor,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,52,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,19,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,26,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,1
Nocturno,61,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Llovizna,1
Nocturno,29,Masculino,Conductor,Camion,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,33,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,34,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,53,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Otro,1
Diurno,70,Femenino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Nocturno,34,Masculino,Peaton,Peaton,Autopista provincial,Colision vehiculo/Persona,Bueno,1
Diurno,26,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,24,Masculino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,33,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Lluvia,1
Diurno,40,Femenino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Lluvia,1
Diurno,36,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,25,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Llovizna,1
Diurno,41,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,44,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,45,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,22,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,58,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,29,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,15,Femenino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,17,Femenino,Pasajero,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,18,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,22,Masculino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Otro,1
Diurno,71,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,40,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,56,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,21,Masculino,Peaton,Peaton,Ruta nacional,Colision vehiculo/Persona,Otro,1
Nocturno,48,Femenino,Conductor,Motocicleta,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,65,Femenino,Peaton,Peaton,Ruta provincial,Colision vehiculo/Persona,Bueno,1
